"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Grav_Total_Plus_min","log_mpa_area","sqrt_mpa_age","Average.of.substrate_relief_mean","sqrt_live_coral","sqrt_Average.of.depth","mpa_isolation","mpa_compliance","Shark_Sanctuary","location_name"
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+mpa_isolation","log_Grav_Total_Plus_min+log_mpa_area+mpa_isolation",198.283731783081,209.99793142178,0.01795,NA,5,0,0,1.655,0.228,0.087,1,1,0,0,0,0,1,0,0,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation","log_Grav_Total_Plus_min+mpa_isolation",198.996436719591,208.944710429916,0.00951,NA,4,0,0.713,0.602,0.16,0.147,1,0,0,0,0,0,1,0,0,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation+Shark_Sanctuary","log_Grav_Total_Plus_min+mpa_isolation+Shark_Sanctuary",200.441133658263,212.155333297048,0.01105,NA,5,0,2.157,3.813,0.078,0.03,1,0,0,0,0,0,1,0,1,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation+sqrt_mpa_age","log_Grav_Total_Plus_min+mpa_isolation+sqrt_mpa_age",201.004570635385,212.718770274733,0.01513,NA,5,0,2.721,4.376,0.059,0.022,1,0,1,0,0,0,1,0,0,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation+sqrt_Average.of.depth","log_Grav_Total_Plus_min+mpa_isolation+sqrt_Average.of.depth",201.029568799772,212.743768438796,0.00984,NA,5,0,2.746,4.401,0.058,0.022,1,0,0,0,0,1,1,0,0,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area","log_Grav_Total_Plus_min+log_mpa_area",201.320394838777,209.423276102143,0.00939,NA,3,0,3.037,1.081,0.05,0.116,1,1,0,0,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation+sqrt_live_coral","log_Grav_Total_Plus_min+mpa_isolation+sqrt_live_coral",201.388689255127,213.102888893961,0.00916,NA,5,0,3.105,4.76,0.048,0.018,1,0,0,0,1,0,1,0,0,0
"reef associated.log_Grav_Total_Plus_min","log_Grav_Total_Plus_min",202.160728156192,208.342595608301,0.00034,NA,2,0,3.877,0,0.033,0.199,1,0,0,0,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+Shark_Sanctuary","log_Grav_Total_Plus_min+Shark_Sanctuary",202.239478393851,210.342359474946,0.00122,NA,3,0,3.956,2,0.032,0.073,1,0,0,0,0,0,0,0,1,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+Shark_Sanctuary","log_Grav_Total_Plus_min+log_mpa_area+Shark_Sanctuary",202.373422947859,212.321696658517,0.00964,NA,4,0,4.09,3.979,0.03,0.027,1,1,0,0,0,0,0,0,1,0
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+log_mpa_area","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+log_mpa_area",202.537140561027,213.586034742615,0.01689,NA,4.62,0,4.253,5.243,0.027,0.014,1,1,0,1,0,0,0,0,0,0
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min",202.680633409692,212.112212280931,0.00673,NA,3.72,0,4.397,3.77,0.025,0.03,1,0,0,1,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+sqrt_live_coral","log_Grav_Total_Plus_min+log_mpa_area+sqrt_live_coral",203.355385928371,213.303659638716,0.00858,NA,4,0,5.072,4.961,0.018,0.017,1,1,0,0,1,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+sqrt_Average.of.depth","log_Grav_Total_Plus_min+log_mpa_area+sqrt_Average.of.depth",203.546390510169,213.494664220673,0.00999,NA,4,0,5.263,5.152,0.016,0.015,1,1,0,0,0,1,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+sqrt_mpa_age","log_Grav_Total_Plus_min+log_mpa_area+sqrt_mpa_age",203.562393139114,213.510666849471,0.00618,NA,4,0,5.279,5.168,0.016,0.015,1,1,1,0,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_mpa_age","log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_mpa_age",203.924382794323,213.872656504571,0.01126,NA,4,0,5.641,5.53,0.014,0.013,1,0,1,0,0,0,0,0,1,0
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+Shark_Sanctuary","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+Shark_Sanctuary",204.384801999827,215.076514297073,0.00392,NA,4.42,0,6.101,6.734,0.011,0.007,1,0,0,1,0,0,0,0,1,0
"reef associated.log_Grav_Total_Plus_min+sqrt_Average.of.depth","log_Grav_Total_Plus_min+sqrt_Average.of.depth",204.404422343729,212.507303607203,0.00032,NA,3,0,6.121,4.165,0.011,0.025,1,0,0,0,0,1,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_Average.of.depth","log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_Average.of.depth",204.41097635879,214.359250069276,0.00119,NA,4,0,6.127,6.017,0.011,0.01,1,0,0,0,0,1,0,0,1,0
"reef associated.log_Grav_Total_Plus_min+sqrt_mpa_age","log_Grav_Total_Plus_min+sqrt_mpa_age",204.425086101798,212.527967365111,0.00018,NA,3,0,6.141,4.185,0.011,0.025,1,0,1,0,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+sqrt_live_coral","log_Grav_Total_Plus_min+sqrt_live_coral",204.428375097295,212.531256360731,0.00037,NA,3,0,6.145,4.189,0.011,0.025,1,0,0,0,1,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_live_coral","log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_live_coral",204.504651335207,214.452925045597,0.00086,NA,4,0,6.221,6.11,0.01,0.009,1,0,0,0,1,0,0,0,1,0
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_Average.of.depth","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_Average.of.depth",204.552626675704,215.832972403448,0.0088,NA,4.75,0,6.269,7.49,0.01,0.005,1,0,0,1,0,1,0,0,0,0
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_mpa_age","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_mpa_age",204.753586187666,216.012081110873,0.01531,NA,4.74,0,6.47,7.669,0.009,0.004,1,0,1,1,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_mpa_age","log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_mpa_age",206.741594815739,216.689868526142,0.00013,NA,4,0,8.458,8.347,0.003,0.003,1,0,1,0,0,1,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_live_coral","log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_live_coral",206.74421498856,216.692488698895,0.00038,NA,4,0,8.46,8.35,0.003,0.003,1,0,0,0,1,1,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+sqrt_live_coral+sqrt_mpa_age","log_Grav_Total_Plus_min+sqrt_live_coral+sqrt_mpa_age",206.767520345316,216.715794055652,2e-04,NA,4,0,8.484,8.373,0.003,0.003,1,0,1,0,1,0,0,0,0,0
"reef associated.log_mpa_area+Shark_Sanctuary+sqrt_mpa_age","log_mpa_area+Shark_Sanctuary+sqrt_mpa_age",208.92940760133,220.281411666811,0.07346,NA,4.79,0,10.646,11.939,0.001,0.001,0,1,1,0,0,0,0,0,1,0
"reef associated.Shark_Sanctuary+sqrt_live_coral+sqrt_mpa_age","Shark_Sanctuary+sqrt_live_coral+sqrt_mpa_age",209.110755683443,219.059029393734,0.0382,NA,4,0,10.827,10.716,0.001,0.001,0,0,1,0,1,0,0,0,1,0
"reef associated.Shark_Sanctuary+sqrt_mpa_age","Shark_Sanctuary+sqrt_mpa_age",209.50811250677,217.610993770067,0.06537,NA,3,0,11.224,9.268,0.001,0.002,0,0,1,0,0,0,0,0,1,0
"reef associated.Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_mpa_age","Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_mpa_age",209.765613276771,219.713886987407,0.05707,NA,4,0,11.482,11.371,0.001,0.001,0,0,1,1,0,0,0,0,1,0
"reef associated.null","null",210.24458947454,214.433422768117,0,NA,1,0,11.961,6.091,0.001,0.009,0,0,0,0,0,0,0,0,0,0
"reef associated.Shark_Sanctuary","Shark_Sanctuary",210.539822527782,216.721689979668,0.00334,NA,2,0,12.256,8.379,0,0.003,0,0,0,0,0,0,0,0,1,0
"reef associated.Shark_Sanctuary+sqrt_Average.of.depth+sqrt_mpa_age","Shark_Sanctuary+sqrt_Average.of.depth+sqrt_mpa_age",210.658145576856,220.606419287312,0.05268,NA,4,0,12.374,12.264,0,0,0,0,1,0,0,1,0,0,1,0
"reef associated.Average.of.substrate_relief_mean+sqrt_mpa_age","Average.of.substrate_relief_mean+sqrt_mpa_age",210.733328304198,220.10236780486,0.07037,NA,3.68,0,12.45,11.76,0,0.001,0,0,1,1,0,0,0,0,0,0
"reef associated.mpa_isolation+Shark_Sanctuary+sqrt_mpa_age","mpa_isolation+Shark_Sanctuary+sqrt_mpa_age",210.985531480072,222.699731119294,0.12774,NA,5,0,12.702,14.357,0,0,0,0,1,0,0,0,1,0,1,0
"reef associated.Shark_Sanctuary+sqrt_Average.of.depth","Shark_Sanctuary+sqrt_Average.of.depth",211.111777985635,219.214659249944,0.00073,NA,3,0,12.828,10.872,0,0.001,0,0,0,0,0,1,0,0,1,0
"reef associated.Shark_Sanctuary+sqrt_live_coral","Shark_Sanctuary+sqrt_live_coral",211.153973996794,219.256855260111,0.00025,NA,3,0,12.87,10.914,0,0.001,0,0,0,0,1,0,0,0,1,0
"reef associated.sqrt_Average.of.depth","sqrt_Average.of.depth",211.345020935324,217.526888387422,0.00024,NA,2,0,13.061,9.184,0,0.002,0,0,0,0,0,1,0,0,0,0
"reef associated.Average.of.substrate_relief_mean+sqrt_Average.of.depth+sqrt_mpa_age","Average.of.substrate_relief_mean+sqrt_Average.of.depth+sqrt_mpa_age",211.40216805527,222.711463220218,0.07365,NA,4.77,0,13.118,14.369,0,0,0,0,1,1,0,1,0,0,0,0
"reef associated.Average.of.substrate_relief_mean","Average.of.substrate_relief_mean",211.480280095618,218.406076638993,0.00383,NA,2.38,0,13.197,10.063,0,0.001,0,0,0,1,0,0,0,0,0,0
"reef associated.sqrt_live_coral","sqrt_live_coral",211.491335901499,217.673203353486,0.00474,NA,2,0,13.208,9.331,0,0.002,0,0,0,0,1,0,0,0,0,0
"reef associated.mpa_isolation","mpa_isolation",211.510886984155,219.613768247343,0.0648,NA,3,0,13.227,11.271,0,0.001,0,0,0,0,0,0,1,0,0,0
"reef associated.sqrt_mpa_age","sqrt_mpa_age",211.660878448711,217.842745900827,0.0533,NA,2,0,13.377,9.5,0,0.002,0,0,1,0,0,0,0,0,0,0
"reef associated.Average.of.substrate_relief_mean+mpa_compliance+sqrt_mpa_age","Average.of.substrate_relief_mean+mpa_compliance+sqrt_mpa_age",211.677689968846,224.698449147528,0.02307,NA,5.77,0,13.394,16.356,0,0,0,0,1,1,0,0,0,1,0,0
"reef associated.Average.of.substrate_relief_mean+sqrt_Average.of.depth","Average.of.substrate_relief_mean+sqrt_Average.of.depth",211.701634114881,221.018462622376,0.00997,NA,3.65,0,13.418,12.676,0,0,0,0,0,1,0,1,0,0,0,0
"reef associated.log_mpa_area","log_mpa_area",211.735456857758,219.019979448525,0.01314,NA,2.57,0,13.452,10.677,0,0.001,0,1,0,0,0,0,0,0,0,0
"reef associated.mpa_compliance+Shark_Sanctuary+sqrt_mpa_age","mpa_compliance+Shark_Sanctuary+sqrt_mpa_age",211.814163753808,223.52836339257,0.0206,NA,5,0,13.53,15.186,0,0,0,0,1,0,0,0,0,1,1,0
"reef associated.mpa_compliance","mpa_compliance",211.965017074986,220.067898338174,0.00559,NA,3,0,13.681,11.725,0,0.001,0,0,0,0,0,0,0,1,0,0
"reef associated.log_mpa_area+Shark_Sanctuary","log_mpa_area+Shark_Sanctuary",212.101312131463,221.288972320978,0.00814,NA,3.58,0,13.818,12.946,0,0,0,1,0,0,0,0,0,0,1,0
"reef associated.Average.of.substrate_relief_mean+log_mpa_area+sqrt_mpa_age","Average.of.substrate_relief_mean+log_mpa_area+sqrt_mpa_age",212.134518556722,224.512534049193,0.10348,NA,5.39,0,13.851,16.17,0,0,0,1,1,1,0,0,0,0,0,0
"reef associated.mpa_isolation+Shark_Sanctuary","mpa_isolation+Shark_Sanctuary",212.195747529244,222.144021239376,0.07351,NA,4,0,13.912,13.801,0,0,0,0,0,0,0,0,1,0,1,0
"reef associated.Average.of.substrate_relief_mean+Shark_Sanctuary","Average.of.substrate_relief_mean+Shark_Sanctuary",212.375625453812,220.478506717221,0.00052,NA,3,0,14.092,12.136,0,0,0,0,0,1,0,0,0,0,1,0
"reef associated.mpa_isolation+sqrt_Average.of.depth","mpa_isolation+sqrt_Average.of.depth",212.434172185363,222.382445895714,0.05249,NA,4,0,14.15,14.04,0,0,0,0,0,0,0,1,1,0,0,0
"reef associated.Shark_Sanctuary+sqrt_Average.of.depth+sqrt_live_coral","Shark_Sanctuary+sqrt_Average.of.depth+sqrt_live_coral",212.485376148371,222.433649858997,9e-05,NA,4,0,14.202,14.091,0,0,0,0,0,0,1,1,0,0,1,0
"reef associated.log_mpa_area+sqrt_mpa_age","log_mpa_area+sqrt_mpa_age",212.518386119929,221.893070912103,0.0648,NA,3.68,0,14.235,13.55,0,0,0,1,1,0,0,0,0,0,0,0
"reef associated.mpa_compliance+Shark_Sanctuary","mpa_compliance+Shark_Sanctuary",212.541746229073,222.490019939205,0.00195,NA,4,0,14.258,14.147,0,0,0,0,0,0,0,0,0,1,1,0
"reef associated.log_mpa_area+Shark_Sanctuary+sqrt_live_coral","log_mpa_area+Shark_Sanctuary+sqrt_live_coral",212.671083023631,223.626346670163,0.00412,NA,4.56,0,14.387,15.284,0,0,0,1,0,0,1,0,0,0,1,0
"reef associated.mpa_isolation+sqrt_mpa_age","mpa_isolation+sqrt_mpa_age",212.715541149539,222.663814860321,0.10182,NA,4,0,14.432,14.321,0,0,0,0,1,0,0,0,1,0,0,0
"reef associated.log_mpa_area+sqrt_live_coral","log_mpa_area+sqrt_live_coral",212.737598739384,221.864336744673,0.00482,NA,3.55,0,14.454,13.522,0,0,0,1,0,0,1,0,0,0,0,0
"reef associated.mpa_isolation+sqrt_live_coral","mpa_isolation+sqrt_live_coral",212.739423839766,222.687697550013,0.03871,NA,4,0,14.456,14.345,0,0,0,0,0,0,1,0,1,0,0,0
"reef associated.mpa_isolation+Shark_Sanctuary+sqrt_Average.of.depth","mpa_isolation+Shark_Sanctuary+sqrt_Average.of.depth",212.760185823953,224.474385467533,0.05552,NA,5,0,14.476,16.132,0,0,0,0,0,0,0,1,1,0,1,0
"reef associated.Average.of.substrate_relief_mean+mpa_compliance","Average.of.substrate_relief_mean+mpa_compliance",212.80214004881,223.839170924874,0.00014,NA,4.61,0,14.518,15.497,0,0,0,0,0,1,0,0,0,1,0,0
"reef associated.sqrt_live_coral+sqrt_mpa_age","sqrt_live_coral+sqrt_mpa_age",212.879021974748,220.981903238065,0.01311,NA,3,0,14.595,12.639,0,0,0,0,1,0,1,0,0,0,0,0
"reef associated.mpa_isolation+Shark_Sanctuary+sqrt_live_coral","mpa_isolation+Shark_Sanctuary+sqrt_live_coral",212.938865473926,224.653065112621,0.04033,NA,5,0,14.655,16.31,0,0,0,0,0,0,1,0,1,0,1,0
"reef associated.log_mpa_area+Shark_Sanctuary+sqrt_Average.of.depth","log_mpa_area+Shark_Sanctuary+sqrt_Average.of.depth",212.959107499523,223.844262658521,0.00601,NA,4.52,0,14.675,15.502,0,0,0,1,0,0,0,1,0,0,1,0
"reef associated.log_mpa_area+sqrt_Average.of.depth","log_mpa_area+sqrt_Average.of.depth",212.962005224421,222.025110799916,0.0089,NA,3.52,0,14.678,13.683,0,0,0,1,0,0,0,1,0,0,0,0
"reef associated.Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_Average.of.depth","Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_Average.of.depth",213.055963466521,223.384029905027,0.00132,NA,4.21,0,14.772,15.041,0,0,0,0,0,1,0,1,0,0,1,0
"reef associated.sqrt_Average.of.depth+sqrt_live_coral","sqrt_Average.of.depth+sqrt_live_coral",213.113050550314,221.215931813501,0.00327,NA,3,0,14.829,12.873,0,0,0,0,0,0,1,1,0,0,0,0
"reef associated.sqrt_Average.of.depth+sqrt_mpa_age","sqrt_Average.of.depth+sqrt_mpa_age",213.125335530117,221.228216793721,0.022,NA,3,0,14.842,12.886,0,0,0,0,1,0,0,1,0,0,0,0
"reef associated.Average.of.substrate_relief_mean+mpa_compliance+sqrt_Average.of.depth","Average.of.substrate_relief_mean+mpa_compliance+sqrt_Average.of.depth",213.268357336281,226.241353843691,0.00067,NA,5.74,0,14.985,17.899,0,0,0,0,0,1,0,1,0,1,0,0
"reef associated.mpa_compliance+mpa_isolation","mpa_compliance+mpa_isolation",213.359145680061,225.07334531866,0.01126,NA,5,0,15.075,16.731,0,0,0,0,0,0,0,0,1,1,0,0
"reef associated.log_mpa_area+sqrt_live_coral+sqrt_mpa_age","log_mpa_area+sqrt_live_coral+sqrt_mpa_age",213.436077922941,224.590244912259,0.04281,NA,4.68,0,15.152,16.248,0,0,0,1,1,0,1,0,0,0,0,0
"reef associated.mpa_compliance+Shark_Sanctuary+sqrt_live_coral","mpa_compliance+Shark_Sanctuary+sqrt_live_coral",213.436133616447,225.150333255182,0.00392,NA,5,0,15.152,16.808,0,0,0,0,0,0,1,0,0,1,1,0
"reef associated.mpa_compliance+sqrt_live_coral","mpa_compliance+sqrt_live_coral",213.440929470227,223.389203180506,0.00798,NA,4,0,15.157,15.047,0,0,0,0,0,0,1,0,0,1,0,0
"reef associated.log_mpa_area+mpa_compliance","log_mpa_area+mpa_compliance",213.454519334536,224.076555072573,3e-05,NA,4.38,0,15.171,15.734,0,0,0,1,0,0,0,0,0,1,0,0
"reef associated.Average.of.substrate_relief_mean+log_mpa_area","Average.of.substrate_relief_mean+log_mpa_area",213.458470278463,223.16694664216,0.02424,NA,3.87,0,15.175,14.824,0,0,0,1,0,1,0,0,0,0,0,0
"reef associated.log_mpa_area+mpa_isolation","log_mpa_area+mpa_isolation",213.502290257432,224.296258795142,0.0736,NA,4.47,0,15.219,15.954,0,0,0,1,0,0,0,0,1,0,0,0
"reef associated.mpa_compliance+sqrt_mpa_age","mpa_compliance+sqrt_mpa_age",213.529120383246,223.47739409353,0.00034,NA,4,0,15.245,15.135,0,0,0,0,1,0,0,0,0,1,0,0
"reef associated.mpa_compliance+sqrt_Average.of.depth","mpa_compliance+sqrt_Average.of.depth",213.543376549225,223.491650259519,0.00626,NA,4,0,15.26,15.149,0,0,0,0,0,0,0,1,0,1,0,0
"reef associated.mpa_isolation+sqrt_live_coral+sqrt_mpa_age","mpa_isolation+sqrt_live_coral+sqrt_mpa_age",213.588840589942,225.303040228683,0.07045,NA,5,0,15.305,16.96,0,0,0,0,1,0,1,0,1,0,0,0
"reef associated.mpa_compliance+Shark_Sanctuary+sqrt_Average.of.depth","mpa_compliance+Shark_Sanctuary+sqrt_Average.of.depth",213.690754271473,225.489672708324,0.00168,NA,5.05,0,15.407,17.147,0,0,0,0,0,0,0,1,0,1,1,0
"reef associated.Average.of.substrate_relief_mean+log_mpa_area+sqrt_Average.of.depth","Average.of.substrate_relief_mean+log_mpa_area+sqrt_Average.of.depth",213.786596869204,225.542869287779,0.02656,NA,5.02,0,15.503,17.2,0,0,0,1,0,1,0,1,0,0,0,0
"reef associated.log_mpa_area+mpa_compliance+sqrt_live_coral","log_mpa_area+mpa_compliance+sqrt_live_coral",213.897401574702,226.163135176106,0,NA,5.32,0,15.614,17.821,0,0,0,1,0,0,1,0,0,1,0,0
"reef associated.mpa_isolation+sqrt_Average.of.depth+sqrt_mpa_age","mpa_isolation+sqrt_Average.of.depth+sqrt_mpa_age",213.915438387785,225.629638026832,0.09117,NA,5,0,15.632,17.287,0,0,0,0,1,0,0,1,1,0,0,0
"reef associated.log_mpa_area+mpa_isolation+sqrt_mpa_age","log_mpa_area+mpa_isolation+sqrt_mpa_age",214.034398368527,226.858920417569,0.11233,NA,5.65,0,15.751,18.516,0,0,0,1,1,0,0,0,1,0,0,0
"reef associated.mpa_isolation+sqrt_Average.of.depth+sqrt_live_coral","mpa_isolation+sqrt_Average.of.depth+sqrt_live_coral",214.212448460565,225.926648099375,0.03949,NA,5,0,15.929,17.584,0,0,0,0,0,0,1,1,1,0,0,0
"reef associated.log_mpa_area+mpa_isolation+Shark_Sanctuary","log_mpa_area+mpa_isolation+Shark_Sanctuary",214.263083428413,226.818213222438,0.07419,NA,5.49,0,15.979,18.476,0,0,0,1,0,0,0,0,1,0,1,0
"reef associated.log_mpa_area+sqrt_Average.of.depth+sqrt_mpa_age","log_mpa_area+sqrt_Average.of.depth+sqrt_mpa_age",214.297721994117,225.380738945608,0.05602,NA,4.64,0,16.014,17.038,0,0,0,1,1,0,0,1,0,0,0,0
"reef associated.mpa_compliance+mpa_isolation+sqrt_mpa_age","mpa_compliance+mpa_isolation+sqrt_mpa_age",214.339532184619,228.209127657797,0.0449,NA,6.29,0,16.056,19.867,0,0,0,0,1,0,0,0,1,1,0,0
"reef associated.Average.of.substrate_relief_mean+log_mpa_area+Shark_Sanctuary","Average.of.substrate_relief_mean+log_mpa_area+Shark_Sanctuary",214.361082425721,225.176623219837,0.00695,NA,4.49,0,16.077,16.834,0,0,0,1,0,1,0,0,0,0,1,0
"reef associated.log_mpa_area+mpa_compliance+Shark_Sanctuary","log_mpa_area+mpa_compliance+Shark_Sanctuary",214.444728301883,226.878397799934,0.00033,NA,5.42,0,16.161,18.536,0,0,0,1,0,0,0,0,0,1,1,0
"reef associated.log_mpa_area+sqrt_Average.of.depth+sqrt_live_coral","log_mpa_area+sqrt_Average.of.depth+sqrt_live_coral",214.46454755102,225.315133910394,0.00554,NA,4.51,0,16.181,16.973,0,0,0,1,0,0,1,1,0,0,0,0
"reef associated.mpa_compliance+mpa_isolation+Shark_Sanctuary","mpa_compliance+mpa_isolation+Shark_Sanctuary",214.510314134289,227.906862845716,0.01574,NA,6,0,16.227,19.564,0,0,0,0,0,0,0,0,1,1,1,0
"reef associated.log_mpa_area+mpa_isolation+sqrt_live_coral","log_mpa_area+mpa_isolation+sqrt_live_coral",214.528357739995,227.003774714523,0.05166,NA,5.45,0,16.245,18.661,0,0,0,1,0,0,1,0,1,0,0,0
"reef associated.log_mpa_area+mpa_isolation+sqrt_Average.of.depth","log_mpa_area+mpa_isolation+sqrt_Average.of.depth",214.5745432694,226.953139662707,0.06649,NA,5.39,0,16.291,18.611,0,0,0,1,0,0,0,1,1,0,0,0
"reef associated.Average.of.substrate_relief_mean+log_mpa_area+mpa_compliance","Average.of.substrate_relief_mean+log_mpa_area+mpa_compliance",214.599635576315,227.509006238641,0.00103,NA,5.71,0,16.316,19.166,0,0,0,1,0,1,0,0,0,1,0,0
"reef associated.Average.of.substrate_relief_mean+mpa_compliance+Shark_Sanctuary","Average.of.substrate_relief_mean+mpa_compliance+Shark_Sanctuary",214.620613542961,226.749840197709,0.00122,NA,5.24,0,16.337,18.407,0,0,0,0,0,1,0,0,0,1,1,0
"reef associated.mpa_compliance+mpa_isolation+sqrt_Average.of.depth","mpa_compliance+mpa_isolation+sqrt_Average.of.depth",214.652136151943,228.048684863663,0.01202,NA,6,0,16.368,19.706,0,0,0,0,0,0,0,1,1,1,0,0
"reef associated.mpa_compliance+mpa_isolation+sqrt_live_coral","mpa_compliance+mpa_isolation+sqrt_live_coral",214.675262573877,228.071811285505,0.0057,NA,6,0,16.392,19.729,0,0,0,0,0,0,1,0,1,1,0,0
"reef associated.log_mpa_area+mpa_compliance+sqrt_mpa_age","log_mpa_area+mpa_compliance+sqrt_mpa_age",214.713162272879,227.369495578548,0.01323,NA,5.55,0,16.429,19.027,0,0,0,1,1,0,0,0,0,1,0,0
"reef associated.sqrt_Average.of.depth+sqrt_live_coral+sqrt_mpa_age","sqrt_Average.of.depth+sqrt_live_coral+sqrt_mpa_age",214.840389462291,224.788663172528,0.01015,NA,4,0,16.557,16.446,0,0,0,0,1,0,1,1,0,0,0,0
"reef associated.log_mpa_area+mpa_compliance+sqrt_Average.of.depth","log_mpa_area+mpa_compliance+sqrt_Average.of.depth",214.845547949397,227.078079049533,0.00017,NA,5.3,0,16.562,18.735,0,0,0,1,0,0,0,1,0,1,0,0
"reef associated.mpa_compliance+sqrt_live_coral+sqrt_mpa_age","mpa_compliance+sqrt_live_coral+sqrt_mpa_age",214.988745668183,226.70294530697,1e-05,NA,5,0,16.705,18.36,0,0,0,0,1,0,1,0,0,1,0,0
