"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Grav_Total_Plus_min","log_mpa_area","sqrt_mpa_age","Average.of.substrate_relief_mean","sqrt_live_coral","sqrt_Average.of.depth","mpa_isolation","mpa_compliance","Shark_Sanctuary","location_name"
"reef associated.log_mpa_area+mpa_compliance+mpa_isolation","log_mpa_area+mpa_compliance+mpa_isolation",215.331622552635,229.03342015355,0.0187,NA,6.19,0,17.048,20.691,0,0,0,1,0,0,0,0,1,1,0,0
"reef associated.mpa_compliance+sqrt_Average.of.depth+sqrt_mpa_age","mpa_compliance+sqrt_Average.of.depth+sqrt_mpa_age",215.440789497934,227.154989136936,2e-05,NA,5,0,17.157,18.812,0,0,0,0,1,0,0,1,0,1,0,0
"reef associated.mpa_compliance+sqrt_Average.of.depth+sqrt_live_coral","mpa_compliance+sqrt_Average.of.depth+sqrt_live_coral",215.456681796605,227.170881435391,0.00838,NA,5,0,17.173,18.828,0,0,0,0,0,0,1,1,0,1,0,0
"reef associated.location_name","location_name",237.738424172179,258.669447464866,0.3431,NA,25,0,39.455,50.327,0,0,0,0,0,0,0,0,0,0,0,1
"sharks.log_Grav_Total_Plus_min+log_mpa_area+mpa_isolation","log_Grav_Total_Plus_min+log_mpa_area+mpa_isolation",201.249948045669,212.964147684423,0.00381,NA,5,0,0,1.208,0.24,0.094,1,1,0,0,0,0,1,0,0,0
"sharks.log_Grav_Total_Plus_min+mpa_isolation","log_Grav_Total_Plus_min+mpa_isolation",202.255927147384,212.204200857654,0.00182,NA,4,0,1.006,0.448,0.145,0.137,1,0,0,0,0,0,1,0,0,0
"sharks.log_Grav_Total_Plus_min+log_mpa_area","log_Grav_Total_Plus_min+log_mpa_area",203.689589975239,211.99082465932,0.00242,NA,3.11,0,2.44,0.235,0.071,0.153,1,1,0,0,0,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min+mpa_isolation+Shark_Sanctuary","log_Grav_Total_Plus_min+mpa_isolation+Shark_Sanctuary",203.757423111,215.471622749714,0.0031,NA,5,0,2.507,3.716,0.069,0.027,1,0,0,0,0,0,1,0,1,0
"sharks.log_Grav_Total_Plus_min+mpa_isolation+sqrt_Average.of.depth","log_Grav_Total_Plus_min+mpa_isolation+sqrt_Average.of.depth",203.957188237966,215.671387876741,0.00245,NA,5,0,2.707,3.915,0.062,0.024,1,0,0,0,0,1,1,0,0,0
"sharks.log_Grav_Total_Plus_min+mpa_isolation+sqrt_live_coral","log_Grav_Total_Plus_min+mpa_isolation+sqrt_live_coral",204.53395528601,216.24815492472,0.00147,NA,5,0,3.284,4.492,0.047,0.018,1,0,0,0,1,0,1,0,0,0
"sharks.log_Grav_Total_Plus_min+mpa_isolation+sqrt_mpa_age","log_Grav_Total_Plus_min+mpa_isolation+sqrt_mpa_age",204.565773615692,216.279973254439,0.00299,NA,5,0,3.316,4.524,0.046,0.018,1,0,1,0,0,0,1,0,0,0
"sharks.log_Grav_Total_Plus_min+log_mpa_area+Shark_Sanctuary","log_Grav_Total_Plus_min+log_mpa_area+Shark_Sanctuary",205.185011348837,215.443864706393,0.00347,NA,4.17,0,3.935,3.688,0.034,0.027,1,1,0,0,0,0,0,0,1,0
"sharks.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+log_mpa_area","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+log_mpa_area",205.21705335668,215.597034894529,0.00341,NA,4.24,0,3.967,3.841,0.033,0.025,1,1,0,1,0,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min+log_mpa_area+sqrt_live_coral","log_Grav_Total_Plus_min+log_mpa_area+sqrt_live_coral",205.228544168091,215.417024438413,0.0016,NA,4.13,0,3.979,3.661,0.033,0.028,1,1,0,0,1,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min","log_Grav_Total_Plus_min",205.574230723135,211.756098175143,5e-05,NA,2,0,4.324,0,0.028,0.172,1,0,0,0,0,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min+log_mpa_area+sqrt_Average.of.depth","log_Grav_Total_Plus_min+log_mpa_area+sqrt_Average.of.depth",205.583697301159,215.574257514589,0.0037,NA,4.02,0,4.334,3.818,0.028,0.025,1,1,0,0,0,1,0,0,0,0
"sharks.log_Grav_Total_Plus_min+log_mpa_area+sqrt_mpa_age","log_Grav_Total_Plus_min+log_mpa_area+sqrt_mpa_age",205.876828251318,215.825101962399,0.00073,NA,4,0,4.627,4.069,0.024,0.022,1,1,1,0,0,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min+Shark_Sanctuary","log_Grav_Total_Plus_min+Shark_Sanctuary",206.071880082015,214.17476134533,3e-04,NA,3,0,4.822,2.419,0.022,0.051,1,0,0,0,0,0,0,0,1,0
"sharks.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min",206.789897580427,215.923608503946,0.00094,NA,3.55,0,5.54,4.168,0.015,0.021,1,0,0,1,0,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min+sqrt_Average.of.depth","log_Grav_Total_Plus_min+sqrt_Average.of.depth",207.703924302705,215.806805566048,0,NA,3,0,6.454,4.051,0.01,0.023,1,0,0,0,0,1,0,0,0,0
"sharks.log_Grav_Total_Plus_min+sqrt_mpa_age","log_Grav_Total_Plus_min+sqrt_mpa_age",207.80396641582,215.9068476792,0.00047,NA,3,0,6.554,4.151,0.009,0.022,1,0,1,0,0,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min+sqrt_live_coral","log_Grav_Total_Plus_min+sqrt_live_coral",207.812776677859,215.915657941294,0.00011,NA,3,0,6.563,4.16,0.009,0.021,1,0,0,0,1,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_Average.of.depth","log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_Average.of.depth",208.041989679345,217.99026338971,8e-04,NA,4,0,6.792,6.234,0.008,0.008,1,0,0,0,0,1,0,0,1,0
"sharks.log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_mpa_age","log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_mpa_age",208.049063952605,217.997337662911,0.00541,NA,4,0,6.799,6.241,0.008,0.008,1,0,1,0,0,0,0,0,1,0
"sharks.log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_live_coral","log_Grav_Total_Plus_min+Shark_Sanctuary+sqrt_live_coral",208.179906272561,218.128179982838,8e-05,NA,4,0,6.93,6.372,0.008,0.007,1,0,0,0,1,0,0,0,1,0
"sharks.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+Shark_Sanctuary","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+Shark_Sanctuary",208.225081798609,218.293219332683,0.00028,NA,4.07,0,6.975,6.537,0.007,0.007,1,0,0,1,0,0,0,0,1,0
"sharks.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_Average.of.depth","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_Average.of.depth",208.340577079874,219.471096590475,0.00396,NA,4.66,0,7.091,7.715,0.007,0.004,1,0,0,1,0,1,0,0,0,0
"sharks.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_mpa_age","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+sqrt_mpa_age",208.923366065067,219.938681538315,0.00505,NA,4.6,0,7.673,8.183,0.005,0.003,1,0,1,1,0,0,0,0,0,0
"sharks.log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_mpa_age","log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_mpa_age",209.991082191611,219.939355902132,0.00039,NA,4,0,8.741,8.183,0.003,0.003,1,0,1,0,0,1,0,0,0,0
"sharks.log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_live_coral","log_Grav_Total_Plus_min+sqrt_Average.of.depth+sqrt_live_coral",210.03577871927,219.984052429757,2e-05,NA,4,0,8.786,8.228,0.003,0.003,1,0,0,0,1,1,0,0,0,0
"sharks.log_Grav_Total_Plus_min+sqrt_live_coral+sqrt_mpa_age","log_Grav_Total_Plus_min+sqrt_live_coral+sqrt_mpa_age",210.125792905043,220.074066615417,0.00055,NA,4,0,8.876,8.318,0.003,0.003,1,0,1,0,1,0,0,0,0,0
"sharks.log_mpa_area+Shark_Sanctuary+sqrt_mpa_age","log_mpa_area+Shark_Sanctuary+sqrt_mpa_age",210.872592050117,222.331384161918,0.0552,NA,4.85,0,9.623,10.575,0.002,0.001,0,1,1,0,0,0,0,0,1,0
"sharks.Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_mpa_age","Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_mpa_age",212.558506846951,222.506780557274,0.04977,NA,4,0,11.309,10.751,0.001,0.001,0,0,1,1,0,0,0,0,1,0
"sharks.log_mpa_area","log_mpa_area",212.608866979971,220.224239059979,0.0039,NA,2.74,0,11.359,8.468,0.001,0.002,0,1,0,0,0,0,0,0,0,0
"sharks.Shark_Sanctuary+sqrt_live_coral+sqrt_mpa_age","Shark_Sanctuary+sqrt_live_coral+sqrt_mpa_age",212.714372983734,222.662646694065,0.03226,NA,4,0,11.464,10.907,0.001,0.001,0,0,1,0,1,0,0,0,1,0
"sharks.log_mpa_area+sqrt_live_coral","log_mpa_area+sqrt_live_coral",212.71522520072,222.173506315814,0.00064,NA,3.73,0,11.465,10.417,0.001,0.001,0,1,0,0,1,0,0,0,0,0
"sharks.null","null",212.851597761194,217.040431054771,0,NA,1,0,11.602,5.284,0.001,0.012,0,0,0,0,0,0,0,0,0,0
"sharks.log_mpa_area+Shark_Sanctuary+sqrt_live_coral","log_mpa_area+Shark_Sanctuary+sqrt_live_coral",213.014229177912,224.275940032238,0.00193,NA,4.74,0,11.764,12.52,0.001,0,0,1,0,0,1,0,0,0,1,0
"sharks.mpa_isolation","mpa_isolation",213.174123569562,221.277004832749,0.03864,NA,3,0,11.924,9.521,0.001,0.001,0,0,0,0,0,0,1,0,0,0
"sharks.Average.of.substrate_relief_mean+sqrt_mpa_age","Average.of.substrate_relief_mean+sqrt_mpa_age",213.241198573171,222.437363164679,0.04556,NA,3.59,0,11.991,10.681,0.001,0.001,0,0,1,1,0,0,0,0,0,0
"sharks.Shark_Sanctuary+sqrt_mpa_age","Shark_Sanctuary+sqrt_mpa_age",213.336998301712,221.439879565045,0.0612,NA,3,0,12.087,9.684,0.001,0.001,0,0,1,0,0,0,0,0,1,0
"sharks.Average.of.substrate_relief_mean","Average.of.substrate_relief_mean",213.34814238527,219.955121303158,0.00013,NA,2.22,0,12.098,8.199,0.001,0.003,0,0,0,1,0,0,0,0,0,0
"sharks.Average.of.substrate_relief_mean+log_mpa_area+sqrt_mpa_age","Average.of.substrate_relief_mean+log_mpa_area+sqrt_mpa_age",213.438381953609,225.694651933167,0.06224,NA,5.32,0,12.188,13.939,0.001,0,0,1,1,1,0,0,0,0,0,0
"sharks.log_mpa_area+Shark_Sanctuary","log_mpa_area+Shark_Sanctuary",213.483623626777,222.976944308137,0.00641,NA,3.75,0,12.234,11.221,0.001,0.001,0,1,0,0,0,0,0,0,1,0
"sharks.log_mpa_area+sqrt_mpa_age","log_mpa_area+sqrt_mpa_age",213.488110775865,223.062124460751,0.03023,NA,3.79,0,12.238,11.306,0.001,0.001,0,1,1,0,0,0,0,0,0,0
"sharks.Shark_Sanctuary","Shark_Sanctuary",213.488440565427,219.670308017313,0.00689,NA,2,0,12.238,7.914,0.001,0.003,0,0,0,0,0,0,0,0,1,0
"sharks.log_mpa_area+sqrt_live_coral+sqrt_mpa_age","log_mpa_area+sqrt_live_coral+sqrt_mpa_age",213.526883250775,224.87316447234,0.01592,NA,4.79,0,12.277,13.117,0.001,0,0,1,1,0,1,0,0,0,0,0
"sharks.Shark_Sanctuary+sqrt_live_coral","Shark_Sanctuary+sqrt_live_coral",213.70997983622,221.812861099561,1e-05,NA,3,0,12.46,10.057,0,0.001,0,0,0,0,1,0,0,0,1,0
"sharks.sqrt_live_coral","sqrt_live_coral",213.798746561857,219.980614013905,0.00457,NA,2,0,12.549,8.225,0,0.003,0,0,0,0,1,0,0,0,0,0
"sharks.Average.of.substrate_relief_mean+sqrt_Average.of.depth+sqrt_mpa_age","Average.of.substrate_relief_mean+sqrt_Average.of.depth+sqrt_mpa_age",213.938206558561,225.171106267553,0.06355,NA,4.72,0,12.688,13.415,0,0,0,0,1,1,0,1,0,0,0,0
"sharks.mpa_isolation+Shark_Sanctuary","mpa_isolation+Shark_Sanctuary",213.982681747349,223.930955457482,0.05143,NA,4,0,12.733,12.175,0,0,0,0,0,0,0,0,1,0,1,0
"sharks.Average.of.substrate_relief_mean+sqrt_Average.of.depth","Average.of.substrate_relief_mean+sqrt_Average.of.depth",214.003115002739,223.191080814999,0.01154,NA,3.58,0,12.753,11.435,0,0.001,0,0,0,1,0,1,0,0,0,0
"sharks.mpa_isolation+Shark_Sanctuary+sqrt_mpa_age","mpa_isolation+Shark_Sanctuary+sqrt_mpa_age",214.092663455308,225.806863094145,0.09622,NA,5,0,12.843,14.051,0,0,0,0,1,0,0,0,1,0,1,0
"sharks.log_mpa_area+sqrt_Average.of.depth","log_mpa_area+sqrt_Average.of.depth",214.123034221012,223.552532745217,0.00804,NA,3.71,0,12.873,11.796,0,0,0,1,0,0,0,1,0,0,0,0
"sharks.log_mpa_area+mpa_isolation","log_mpa_area+mpa_isolation",214.131720143116,225.246696792512,0.03848,NA,4.66,0,12.882,13.491,0,0,0,1,0,0,0,0,1,0,0,0
"sharks.log_mpa_area+mpa_compliance+sqrt_live_coral","log_mpa_area+mpa_compliance+sqrt_live_coral",214.154686072946,226.977575198116,0.00066,NA,5.65,0,12.905,15.221,0,0,0,1,0,0,1,0,0,1,0,0
"sharks.Average.of.substrate_relief_mean+log_mpa_area","Average.of.substrate_relief_mean+log_mpa_area",214.171686691963,223.5519180632,0.00398,NA,3.69,0,12.922,11.796,0,0,0,1,0,1,0,0,0,0,0,0
"sharks.mpa_isolation+sqrt_live_coral","mpa_isolation+sqrt_live_coral",214.188586036943,224.136859747219,0.02027,NA,4,0,12.939,12.381,0,0,0,0,0,0,1,0,1,0,0,0
"sharks.sqrt_Average.of.depth","sqrt_Average.of.depth",214.240509472205,220.422376924335,0.00189,NA,2,0,12.991,8.666,0,0.002,0,0,0,0,0,1,0,0,0,0
"sharks.mpa_isolation+Shark_Sanctuary+sqrt_live_coral","mpa_isolation+Shark_Sanctuary+sqrt_live_coral",214.394536089412,226.108735728148,0.02676,NA,5,0,13.145,14.353,0,0,0,0,0,0,1,0,1,0,1,0
"sharks.Shark_Sanctuary+sqrt_Average.of.depth","Shark_Sanctuary+sqrt_Average.of.depth",214.47252468763,222.575405951282,0.00798,NA,3,0,13.223,10.819,0,0.001,0,0,0,0,0,1,0,0,1,0
"sharks.mpa_isolation+sqrt_Average.of.depth","mpa_isolation+sqrt_Average.of.depth",214.513193263299,224.46146697363,0.04198,NA,4,0,13.263,12.705,0,0,0,0,0,0,0,1,1,0,0,0
"sharks.log_mpa_area+mpa_isolation+sqrt_live_coral","log_mpa_area+mpa_isolation+sqrt_live_coral",214.530207376152,227.33692343514,0.02141,NA,5.64,0,13.28,15.581,0,0,0,1,0,0,1,0,1,0,0,0
"sharks.log_mpa_area+mpa_compliance","log_mpa_area+mpa_compliance",214.552271397728,225.700831751626,0.00026,NA,4.67,0,13.302,13.945,0,0,0,1,0,0,0,0,0,1,0,0
"sharks.Average.of.substrate_relief_mean+Shark_Sanctuary","Average.of.substrate_relief_mean+Shark_Sanctuary",214.562753305862,222.665634569423,0.00094,NA,3,0,13.313,10.91,0,0.001,0,0,0,1,0,0,0,0,1,0
"sharks.sqrt_mpa_age","sqrt_mpa_age",214.582032240755,220.763899692797,0.04199,NA,2,0,13.332,9.008,0,0.002,0,0,1,0,0,0,0,0,0,0
"sharks.Shark_Sanctuary+sqrt_Average.of.depth+sqrt_mpa_age","Shark_Sanctuary+sqrt_Average.of.depth+sqrt_mpa_age",214.633126727316,224.581400437633,0.06141,NA,4,0,13.383,12.825,0,0,0,0,1,0,0,1,0,0,1,0
"sharks.log_mpa_area+sqrt_Average.of.depth+sqrt_live_coral","log_mpa_area+sqrt_Average.of.depth+sqrt_live_coral",214.641415693049,225.846729637822,0.00219,NA,4.71,0,13.391,14.091,0,0,0,1,0,0,1,1,0,0,0,0
"sharks.log_mpa_area+Shark_Sanctuary+sqrt_Average.of.depth","log_mpa_area+Shark_Sanctuary+sqrt_Average.of.depth",214.731045177124,225.958746700343,0.01119,NA,4.72,0,13.481,14.203,0,0,0,1,0,0,0,1,0,0,1,0
"sharks.mpa_isolation+Shark_Sanctuary+sqrt_Average.of.depth","mpa_isolation+Shark_Sanctuary+sqrt_Average.of.depth",214.989119017347,226.703318657093,0.05446,NA,5,0,13.739,14.947,0,0,0,0,0,0,0,1,1,0,1,0
"sharks.mpa_compliance","mpa_compliance",215.00849816824,223.111379431428,0.00883,NA,3,0,13.759,11.355,0,0.001,0,0,0,0,0,0,0,1,0,0
"sharks.mpa_isolation+sqrt_mpa_age","mpa_isolation+sqrt_mpa_age",215.037952416996,224.986226127424,0.05813,NA,4,0,13.788,13.23,0,0,0,0,1,0,0,0,1,0,0,0
"sharks.Average.of.substrate_relief_mean+log_mpa_area+sqrt_Average.of.depth","Average.of.substrate_relief_mean+log_mpa_area+sqrt_Average.of.depth",215.055292832834,226.82369907992,0.02063,NA,5.03,0,13.805,15.068,0,0,0,1,0,1,0,1,0,0,0,0
"sharks.log_mpa_area+mpa_isolation+Shark_Sanctuary","log_mpa_area+mpa_isolation+Shark_Sanctuary",215.129251417424,227.972614219824,0.04605,NA,5.67,0,13.879,16.217,0,0,0,1,0,0,0,0,1,0,1,0
"sharks.Shark_Sanctuary+sqrt_Average.of.depth+sqrt_live_coral","Shark_Sanctuary+sqrt_Average.of.depth+sqrt_live_coral",215.266567004217,225.214840714838,0.00081,NA,4,0,14.017,13.459,0,0,0,0,0,0,1,1,0,0,1,0
"sharks.log_mpa_area+mpa_isolation+sqrt_mpa_age","log_mpa_area+mpa_isolation+sqrt_mpa_age",215.284340119837,228.248984261521,0.06067,NA,5.74,0,14.034,16.493,0,0,0,1,1,0,0,0,1,0,0,0
"sharks.Average.of.substrate_relief_mean+mpa_compliance+sqrt_mpa_age","Average.of.substrate_relief_mean+mpa_compliance+sqrt_mpa_age",215.336928895499,228.198663089651,0.00857,NA,5.68,0,14.087,16.443,0,0,0,0,1,1,0,0,0,1,0,0
"sharks.mpa_compliance+mpa_isolation","mpa_compliance+mpa_isolation",215.384056799096,227.098256437695,0.00393,NA,5,0,14.134,15.342,0,0,0,0,0,0,0,0,1,1,0,0
"sharks.log_mpa_area+sqrt_Average.of.depth+sqrt_mpa_age","log_mpa_area+sqrt_Average.of.depth+sqrt_mpa_age",215.405280432407,226.718074399596,0.03396,NA,4.77,0,14.155,14.962,0,0,0,1,1,0,0,1,0,0,0,0
"sharks.Average.of.substrate_relief_mean+mpa_compliance","Average.of.substrate_relief_mean+mpa_compliance",215.504239967687,226.29395693796,0.00307,NA,4.47,0,14.254,14.538,0,0,0,0,0,1,0,0,0,1,0,0
"sharks.Average.of.substrate_relief_mean+log_mpa_area+Shark_Sanctuary","Average.of.substrate_relief_mean+log_mpa_area+Shark_Sanctuary",215.510396380995,226.58650471165,0.00587,NA,4.63,0,14.26,14.83,0,0,0,1,0,1,0,0,0,0,1,0
"sharks.sqrt_live_coral+sqrt_mpa_age","sqrt_live_coral+sqrt_mpa_age",215.558256267734,223.661137531107,0.00388,NA,3,0,14.308,11.905,0,0,0,0,1,0,1,0,0,0,0,0
"sharks.Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_Average.of.depth","Average.of.substrate_relief_mean+Shark_Sanctuary+sqrt_Average.of.depth",215.571618496964,225.859598199326,0.0058,NA,4.19,0,14.322,14.104,0,0,0,0,0,1,0,1,0,0,1,0
"sharks.sqrt_Average.of.depth+sqrt_live_coral","sqrt_Average.of.depth+sqrt_live_coral",215.611214653673,223.714095916981,0.00091,NA,3,0,14.361,11.958,0,0,0,0,0,0,1,1,0,0,0,0
"sharks.log_mpa_area+mpa_isolation+sqrt_Average.of.depth","log_mpa_area+mpa_isolation+sqrt_Average.of.depth",215.660281863926,228.413958666073,0.0452,NA,5.61,0,14.41,16.658,0,0,0,1,0,0,0,1,1,0,0,0
"sharks.mpa_compliance+Shark_Sanctuary","mpa_compliance+Shark_Sanctuary",215.8524635976,225.800737307732,0.00261,NA,4,0,14.603,14.045,0,0,0,0,0,0,0,0,0,1,1,0
"sharks.log_mpa_area+mpa_compliance+Shark_Sanctuary","log_mpa_area+mpa_compliance+Shark_Sanctuary",215.884795054396,228.767774193315,6e-05,NA,5.69,0,14.635,17.012,0,0,0,1,0,0,0,0,0,1,1,0
"sharks.mpa_isolation+sqrt_live_coral+sqrt_mpa_age","mpa_isolation+sqrt_live_coral+sqrt_mpa_age",215.897774111954,227.611973750872,0.03601,NA,5,0,14.648,15.856,0,0,0,0,1,0,1,0,1,0,0,0
"sharks.mpa_isolation+sqrt_Average.of.depth+sqrt_live_coral","mpa_isolation+sqrt_Average.of.depth+sqrt_live_coral",215.933101751253,227.647301390038,0.0255,NA,5,0,14.683,15.891,0,0,0,0,0,0,1,1,1,0,0,0
"sharks.log_mpa_area+mpa_compliance+sqrt_mpa_age","log_mpa_area+mpa_compliance+sqrt_mpa_age",215.959190792494,228.919574006206,0.00409,NA,5.74,0,14.709,17.163,0,0,0,1,1,0,0,0,0,1,0,0
"sharks.Average.of.substrate_relief_mean+log_mpa_area+mpa_compliance","Average.of.substrate_relief_mean+log_mpa_area+mpa_compliance",215.971187413983,229.056159705721,9e-05,NA,5.81,0,14.721,17.3,0,0,0,1,0,1,0,0,0,1,0,0
"sharks.log_mpa_area+mpa_compliance+sqrt_Average.of.depth","log_mpa_area+mpa_compliance+sqrt_Average.of.depth",216.065421400896,228.86346107853,0.00016,NA,5.64,0,14.815,17.107,0,0,0,1,0,0,0,1,0,1,0,0
"sharks.mpa_compliance+Shark_Sanctuary+sqrt_mpa_age","mpa_compliance+Shark_Sanctuary+sqrt_mpa_age",216.141096067529,227.855295706257,0.01272,NA,5,0,14.891,16.099,0,0,0,0,1,0,0,0,0,1,1,0
"sharks.Average.of.substrate_relief_mean+mpa_compliance+sqrt_Average.of.depth","Average.of.substrate_relief_mean+mpa_compliance+sqrt_Average.of.depth",216.153126187556,229.02753286061,2e-04,NA,5.68,0,14.903,17.271,0,0,0,0,0,1,0,1,0,1,0,0
"sharks.sqrt_Average.of.depth+sqrt_mpa_age","sqrt_Average.of.depth+sqrt_mpa_age",216.203039565979,224.305920829601,0.02789,NA,3,0,14.953,12.55,0,0,0,0,1,0,0,1,0,0,0,0
"sharks.mpa_compliance+sqrt_live_coral","mpa_compliance+sqrt_live_coral",216.263343861258,226.211617571531,0.01129,NA,4,0,15.013,14.456,0,0,0,0,0,0,1,0,0,1,0,0
"sharks.log_mpa_area+mpa_compliance+mpa_isolation","log_mpa_area+mpa_compliance+mpa_isolation",216.377413075865,230.655925150684,0.00724,NA,6.55,0,15.127,18.9,0,0,0,1,0,0,0,0,1,1,0,0
"sharks.mpa_compliance+Shark_Sanctuary+sqrt_live_coral","mpa_compliance+Shark_Sanctuary+sqrt_live_coral",216.446717794691,228.160917433429,0.0042,NA,5,0,15.197,16.405,0,0,0,0,0,0,1,0,0,1,1,0
"sharks.mpa_compliance+mpa_isolation+sqrt_live_coral","mpa_compliance+mpa_isolation+sqrt_live_coral",216.5385299102,229.935078621817,0.0011,NA,6,0,15.289,18.179,0,0,0,0,0,0,1,0,1,1,0,0
"sharks.mpa_isolation+sqrt_Average.of.depth+sqrt_mpa_age","mpa_isolation+sqrt_Average.of.depth+sqrt_mpa_age",216.548290424558,228.262490063667,0.06129,NA,5,0,15.298,16.506,0,0,0,0,1,0,0,1,1,0,0,0
"sharks.mpa_compliance+mpa_isolation+Shark_Sanctuary","mpa_compliance+mpa_isolation+Shark_Sanctuary",216.591519476708,229.988068188134,0.00838,NA,6,0,15.342,18.232,0,0,0,0,0,0,0,0,1,1,1,0
"sharks.mpa_compliance+sqrt_Average.of.depth","mpa_compliance+sqrt_Average.of.depth",216.693639754775,226.641913465168,0.00551,NA,4,0,15.444,14.886,0,0,0,0,0,0,0,1,0,1,0,0
"sharks.mpa_compliance+mpa_isolation+sqrt_Average.of.depth","mpa_compliance+mpa_isolation+sqrt_Average.of.depth",216.913113271574,230.30966198343,0.00624,NA,6,0,15.663,18.554,0,0,0,0,0,0,0,1,1,1,0,0
"sharks.mpa_compliance+sqrt_mpa_age","mpa_compliance+sqrt_mpa_age",216.964221221262,226.912494931534,0.00098,NA,4,0,15.714,15.156,0,0,0,0,1,0,0,0,0,1,0,0
"sharks.mpa_compliance+Shark_Sanctuary+sqrt_Average.of.depth","mpa_compliance+Shark_Sanctuary+sqrt_Average.of.depth",217.157875232453,228.872074911236,0.00024,NA,5,0,15.908,17.116,0,0,0,0,0,0,0,1,0,1,1,0
"sharks.Average.of.substrate_relief_mean+mpa_compliance+Shark_Sanctuary","Average.of.substrate_relief_mean+mpa_compliance+Shark_Sanctuary",217.234509443778,229.005173541932,0.00401,NA,5.03,0,15.985,17.249,0,0,0,0,0,1,0,0,0,1,1,0
"sharks.mpa_compliance+mpa_isolation+sqrt_mpa_age","mpa_compliance+mpa_isolation+sqrt_mpa_age",217.288987720281,231.01297733507,0.01588,NA,6.2,0,16.039,19.257,0,0,0,0,1,0,0,0,1,1,0,0
"sharks.sqrt_Average.of.depth+sqrt_live_coral+sqrt_mpa_age","sqrt_Average.of.depth+sqrt_live_coral+sqrt_mpa_age",217.579789775607,227.528063485944,0.0054,NA,4,0,16.33,15.772,0,0,0,0,1,0,1,1,0,0,0,0
"sharks.mpa_compliance+sqrt_live_coral+sqrt_mpa_age","mpa_compliance+sqrt_live_coral+sqrt_mpa_age",218.257223643794,229.971423282537,0.00243,NA,5,0,17.007,18.215,0,0,0,0,1,0,1,0,0,1,0,0
"sharks.mpa_compliance+sqrt_Average.of.depth+sqrt_live_coral","mpa_compliance+sqrt_Average.of.depth+sqrt_live_coral",218.322491627404,230.036691266176,0.00871,NA,5,0,17.073,18.281,0,0,0,0,0,0,1,1,0,1,0,0
"sharks.mpa_compliance+sqrt_Average.of.depth+sqrt_mpa_age","mpa_compliance+sqrt_Average.of.depth+sqrt_mpa_age",218.871863986842,230.586063625372,6e-04,NA,5,0,17.622,18.83,0,0,0,0,1,0,0,1,0,1,0,0
"sharks.location_name","location_name",235.517431253312,256.448454545999,0.33233,NA,25,0,34.267,44.692,0,0,0,0,0,0,0,0,0,0,0,1
