"unique_reserve","closed_n","closed_mean","closed_sd","closed_se","open_n","open_mean","open_sd","open_se","es","var","variable"
"Abrolhos",62,0.268064516129032,1.53575403459858,0.195040957435075,28,0.01,0.1,0.01,3.2886425903703,4.1008152157537,"sharks"
"Apo",53,0.293018867924528,0.743623107871341,0.102144489462484,36,0.01,0.1,0.01,3.37765190959657,2.89929524581813,"sharks"
"Ashmore",27,1.40740740740741,1.44805597159298,0.278678501666951,98,0.979591836734694,2.29288272091955,0.231616131489668,0.362368580924792,0.0951118976491028,"sharks"
"Balls Pyramid",12,5.91666666666667,2.93747985163948,0.847977391541577,12,4.91666666666667,3.3967453227875,0.980555913239984,0.185142433135596,0.0603150170275155,"sharks"
"Bazaruto",41,0.536585365853659,0.95125078122464,0.148560413003327,28,0.285714285714286,0.534522483824849,0.101015254455221,0.630233355149376,0.201652892561983,"sharks"
"Bird Cay",18,1.55555555555556,2.14811058490184,0.506314520440897,32,1.40625,2.94967876873223,0.521434464923136,0.100906165308446,0.243433416377304,"sharks"
"Buccoo",26,0.423076923076923,1.06482212310139,0.20882879939228,21,0.428571428571429,1.12122382116278,0.244671096736479,-0.0129034048359078,0.56956228956229,"sharks"
"Bundegi",6,0.333333333333333,0.516397779494322,0.210818510677892,10,0.3,0.674948557710553,0.213437474581095,0.105360515657826,0.906172839506173,"sharks"
"Caye Caulker",81,0.37037037037037,0.641179468722378,0.0712421631913754,80,0.1125,0.35556159892895,0.0397529952696824,1.19155028432738,0.161863259884357,"sharks"
"Cloates",13,1,0.912870929175277,0.253184841770917,9,1.22222222222222,0.97182531580755,0.32394177193585,-0.200670695462151,0.134350497986862,"sharks"
"Conception",31,1.16129032258065,1.29349073424199,0.232317793992368,44,0.5,0.762492851663023,0.114950122467926,0.842678914530909,0.0928746987532517,"sharks"
"Corals Rosario and San Bernardo",95,0.115789473684211,0.321669775653338,0.0330026226340413,99,0.0101010101010101,0.100503781525921,0.0101010101010101,2.43913823133242,1.08123791102515,"sharks"
"Curacao",35,0.2,0.531368931324057,0.0898177426278144,68,0.0294117647058824,0.170213933457599,0.0206414713705158,1.91692261218206,0.694217985701743,"sharks"
"Dutch Reserve",17,0.470588235294118,0.799816155346303,0.193983911151072,52,0.192307692307692,0.486623482040275,0.0674825352438862,0.894886823211001,0.293059129901961,"sharks"
"East Coast",14,5,3.08843998459765,0.825420305855557,22,4.31818181818182,2.71479831113287,0.578796944694529,0.146603474191875,0.0452187148032023,"sharks"
"Easter",10,0.31,0.483045891539648,0.152752523165195,19,0.01,0.1,0.01,3.43398720448515,5.50596053087975,"sharks"
"Exuma Cays",29,1.86206896551724,1.74691846917108,0.324394615900462,64,1.890625,1.40426999054641,0.175533748818301,-0.0152192456592689,0.0389698577047271,"sharks"
"Fernando",31,1.45161290322581,1.70955568647567,0.307045265401053,24,0.625,0.875388112682647,0.178687850247539,0.842678914530909,0.126479871175523,"sharks"
"Gili Matra",40,0.25,0.493548116792825,0.0780368091976062,108,0.0833333333333333,0.277673916200852,0.0267191850442499,1.09861228866811,0.200239635753654,"sharks"
"Glover's Reef",35,1.46714285714286,1.12047408933627,0.189394688783122,40,0.01,0.1,0.01,4.98848706087325,2.51666444232427,"sharks"
"Halfmoon Cay",36,1.33333333333333,1.12122382116278,0.186870636860463,27,0.703703703703704,0.868899162725891,0.167219721832811,0.63907995928967,0.0761099357706006,"sharks"
"Hawaii",66,1.21212121212121,1.13021647368514,0.139120030875308,89,0.0786516853932584,0.270719542109693,0.0286962140712567,2.73509811332428,0.14628996003996,"sharks"
"iSimangaliso",48,0.75,1,0.144337567297406,45,0.755555555555556,1.00352912616959,0.149597289567745,-0.00738010729762253,0.07623961646453,"sharks"
"Jardines de la Reina",49,1,0.790569415042095,0.112938487863156,10,0.4,0.516397779494322,0.163299316185545,0.916290731874155,0.179421768707483,"sharks"
"Kapoposang 1",5,0.01,0.1,0.01,59,0.24728813559322,0.536237950619308,0.0698122348177165,-3.20796910461707,20.0796996696141,"sharks"
"Kapoposang 2",7,0.01,0.1,0.01,119,0.110840336134454,0.302390419518931,0.0277200843088735,-2.40550565960579,14.3482594050278,"sharks"
"Kisite",20,0.01,0.1,0.01,19,0.01,0.1,0.01,0,10.2631578947368,"sharks"
"Lighthouse",15,0.866666666666667,0.915475416434127,0.236374736114112,9,0.666666666666667,0.707106781186548,0.235702260395516,0.262364264467491,0.199387151310228,"sharks"
"Mandu",8,0.25,0.707106781186548,0.25,5,0.6,1.34164078649987,0.6,-0.8754687373539,2,"sharks"
"Maud",14,0.938571428571429,1.07161170596054,0.286400275382904,5,0.01,0.1,0.01,4.5417738694293,20.0931134039284,"sharks"
"MNP-11-1004",38,1.23684210526316,0.942515625401074,0.152896224190512,26,1,0.894427190999916,0.175411603861406,0.212561441983673,0.0460506960280613,"sharks"
"MNP-13-1019",51,1.82352941176471,1.62118330059178,0.227011068837746,50,1.74,1.24228229727484,0.175685247310208,0.0468887472024925,0.0256923900475231,"sharks"
"MNP-18-1081",92,1.75,1.45726674758823,0.151930560999109,101,0.702970297029703,0.94387027133442,0.0939186022711341,0.912056427735367,0.0253869049654065,"sharks"
"MNP-18-1084",15,1.2,0.861891607371335,0.222539456105675,103,0.669902912621359,0.900853076251302,0.0887636911354778,0.582944040426331,0.0519483996076902,"sharks"
"MNP-23-1164",19,0.947368421052632,1.02597835208515,0.235375576578925,24,0.416666666666667,0.775531608229039,0.158304726630098,0.821401516083624,0.206076221148685,"sharks"
"Namena",31,1.38709677419355,1.05443252841955,0.189381672733649,28,0.285714285714286,0.460043706228236,0.0869400884928835,1.57997587970378,0.111233299280893,"sharks"
"Namuri",7,0.714285714285714,1.11269728052837,0.420560041253707,5,0.4,0.547722557505166,0.244948974278318,0.579818495252942,0.721666666666667,"sharks"
"Nasue",17,0.352941176470588,0.492592183071889,0.119471153009352,6,0.333333333333333,0.816496580927726,0.333333333333333,0.0571584138399488,1.11458333333333,"sharks"
"Ngeruangel",58,1.51724137931034,1.5130007283117,0.198666728548772,62,1.08064516129032,1.01300376412121,0.128651606695065,0.339335569585913,0.0313182143854513,"sharks"
"North",5,0.01,0.1,0.01,14,0.01,0.1,0.01,0,27.1428571428571,"sharks"
"North Eustatius",4,0.51,0.577350269189626,0.288675134594813,8,0.51,0.755928946018454,0.267261241912424,0,0.595009245528277,"sharks"
"North Monte",11,0.919090909090909,0.831209414593634,0.250619068219822,11,0.282727272727273,0.467099366496914,0.140835758043906,1.17890230684124,0.322491581170708,"sharks"
"Oracabessa",4,0.01,0.1,0.01,8,0.01,0.1,0.01,0,37.5,"sharks"
"Osprey",6,1.16666666666667,1.16904519445001,0.477260702109212,9,0.333333333333333,0.5,0.166666666666667,1.25276296849537,0.41734693877551,"sharks"
"Palasar",40,1.3,0.853349358823881,0.134926380686388,40,0.45,0.677476463778897,0.107118434334894,1.06087196068526,0.0674357663180806,"sharks"
"Pelican",10,0.61,0.966091783079296,0.305505046330389,6,0.01,0.1,0.01,4.11087386417331,16.9174952969632,"sharks"
"Pelsaert",9,0.111111111111111,0.333333333333333,0.111111111111111,21,0.142857142857143,0.358568582800318,0.0782460796435952,-0.251314428280906,1.3,"sharks"
"Petit Terre",48,0.0833333333333333,0.279310193865464,0.0403149539039081,41,0.024390243902439,0.156173761888606,0.024390243902439,1.22866541691631,1.23404255319149,"sharks"
"Pigeon Island",49,0.152857142857143,0.353553390593274,0.0505076272276105,54,0.01,0.1,0.01,2.72691868540659,1.961031692886,"sharks"
"Saba",20,0.3,0.470162345981627,0.105131496607569,52,0.288461538461538,0.457466958478476,0.0634392529086423,0.0392207131532813,0.171173030615755,"sharks"
"Sandals Boscobel",4,0.01,0.1,0.01,6,0.01,0.1,0.01,0,41.6666666666667,"sharks"
"Santo Domingo",40,0.05,0.220721427863152,0.0348991220226056,44,0.0227272727272727,0.150755672288882,0.0227272727272727,0.78845736036427,1.48717948717949,"sharks"
"Sipadan",21,3.72428571428571,4.44007721940573,0.96890428330361,64,0.01,0.1,0.01,5.92004526487819,1.63018240297249,"sharks"
"South Eustatius",19,0.421052631578947,0.507257273501788,0.116372799661593,39,0.358974358974359,0.58432054501381,0.0935661701034437,0.159506879027783,0.144326590285237,"sharks"
"South Monte",29,0.586206896551724,0.945562620851067,0.175586570646518,29,0.724137931034483,0.882227364772092,0.163825508850403,-0.211309093667207,0.140900617950261,"sharks"
"South Muiron",8,1.125,0.640869944461656,0.226581741793741,19,0.894736842105263,1.04853002087607,0.240549284224598,0.229008670766608,0.112844266246804,"sharks"
"SR-18-2007",15,0.2,0.414039335605413,0.10690449676497,14,0.428571428571429,0.513552591013095,0.137252703261503,-0.762140052046897,0.388278388278388,"sharks"
"St Maarten French",36,0.388888888888889,0.802772971919486,0.133795495319914,42,0.142857142857143,0.354168801660573,0.0546494325482861,1.00144854021446,0.26470881035341,"sharks"
"Sunday Island",4,1,0.816496580927726,0.408248290463863,5,0.2,0.447213595499958,0.2,1.6094379124341,1.16666666666667,"sharks"
"Tanikely",42,0.0952380952380952,0.370202568775516,0.0571234965266339,50,0.16,0.370328039909021,0.0523722936566382,-0.518793793415168,0.466898954703833,"sharks"
"Techobanine",8,0.125,0.353553390593274,0.125,50,0.82,1.59961730117053,0.226220048192201,-1.880990602956,1.07610873022618,"sharks"
"Tetaiuo",11,3.18181818181818,3.40053471731085,1.02529979489976,30,1.56666666666667,2.22343836454253,0.405942449160779,0.70850256864314,0.170975867707724,"sharks"
"Tiahura",7,3.85714285714286,3.23669437485075,1.22335548368239,36,4.02777777777778,4.05311951190411,0.675519918650684,-0.0432880870154486,0.128722840131422,"sharks"
"Tubbataha",89,1.1123595505618,1.61272075477768,0.17094805811066,59,0.0169491525423729,0.130188910980824,0.0169491525423729,4.18402092430817,1.02361771989871,"sharks"
"Wallabi",9,0.444444444444444,0.726483157256779,0.242161052418926,14,0.142857142857143,0.363136519601281,0.0970523172123939,1.13497993283898,0.758413461538462,"sharks"
"Winderabandi",6,0.5,0.547722557505166,0.223606797749979,4,0.75,0.957427107756338,0.478713553878169,-0.405465108108164,0.607407407407407,"sharks"
